priority,doc_id,page,page_count,tlq,lexical_quality,garbage_score,dict_hit,typo_ratio,oov_hard,route,lang_hint,char_count,sample_bad_tokens,source_path
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,427,572,0.9088,0.2903,0.7096774193548387,0.2903,0.7097,0.7097,ocr,en,495,Vichrne|Houas|Huicopwr|Enatis|Roausin|ornal|MacNeal|MtrCocmik,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,377,572,0.9868,0.2936,0.7064457831325301,0.2651,0.6928,0.6867,ocr,en,2861,inhcnnt|bMw-innhtia|higz-rapwu|chacaicriskia|quait|Liectively|trauskals|fromt,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,284,572,0.9874,0.3005,0.6995256916996047,0.2727,0.6877,0.6798,ocr,en,4197,atasma|ckaev|makpituc|tofmoe-g|aeggw|dsptabW|Wcaai|hacuia,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,569,572,0.9877,0.3054,0.6945962732919255,0.2609,0.6708,0.6646,ocr,en,2635,Casmhwui|cahsbrabion|copaft|cautizn|anuna|cnllgatios|muvivabitiy|delcto,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,216,572,0.9862,0.3063,0.6937433155080214,0.2834,0.6791,0.6791,ocr,en,2860,CffITILAL|ONE-PEAlI4v|codtos|hogotteeteetn|Todge-f-fed0|MEaucrncaeifc|yicciuCH|jICnALv,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,АС 1.1.S1000DR_2014,1970,4046,0.9767,0.3093,0.6907407407407407,0.2716,0.6667,0.6667,ocr,ru,1332,galUK/min|галлоны/минута|galUK/min|галлоны/минута|galUK/min|галлоны/минута|galUK/min2|галлоны/минута/минута,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,560,572,0.9877,0.3174,0.6825850340136055,0.2925,0.6667,0.6667,ocr,en,2462,Coadmued|cusMW|systM|latesystam|uwithin|hydmau|kiemanac|ulhcsa,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,559,572,0.9873,0.3198,0.6801612903225807,0.2903,0.6613,0.6613,ocr,en,2064,Condami|ibine|Ftgefv|Ensigfsswh|nyustm|antitorqus|Eqangieeig|pbasims,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,281,572,0.9867,0.3229,0.6770916334661354,0.3108,0.6693,0.6693,ocr,en,3583,SUBSYSTEMt|tsaapi|duritaivo|momeo|ft4b/rad-c|erlniir|dihedra|ustability,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,41,438,0.9052,0.3243,0.6756756756756757,0.3243,0.6757,0.6757,ocr,ru,555,Темnература|соеды|Оборудованне|функшюннрует|Темnература|охлажде1111я|Тесшрованне|Прюtе,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,379,572,0.9849,0.3261,0.6738709677419354,0.3065,0.6613,0.6613,ocr,en,1093,reAS4o-eukini|cbaeecw-|vafre|pvift|paumw|adtin|cmuauims6|saubsym,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,276,572,0.9871,0.3289,0.6711442786069652,0.2985,0.6517,0.6517,ocr,en,3402,sowdoad|tiiota|qpdfedb|muagouuimd|btwht|dwaureigs|labvsoerd|osbouud,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,280,572,0.987,0.3309,0.6690873015873016,0.2976,0.6508,0.6468,ocr,en,4059,Gufafa|Houboft|LawjfAdwd|Slattay|Medsiaf|ltiakeper|Naulfn|Wasahiagou,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,37,438,0.985,0.3327,0.6673255813953488,0.3256,0.6628,0.6628,ocr,ru,1273,окружа10щеR|Потtжеtшая|воздеRств11я|Поtшже11ная|Оборудован11е|функшюн11рует|Тестllроваtше|Прrщечатtя-,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,40,438,0.9119,0.3333,0.6666666666666667,0.3333,0.6667,0.6667,ocr,ru,500,Прzшеча11ия|Оборудован11е|функUJtоН11рует|еспsрован11е|темпераrура|uзме11еm1Я|шzературы|ит11ерва,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,РДК_молниезащита 89г,99,503,0.9879,0.3411,0.65890625,0.3125,0.6406,0.6406,ocr,en,1137,Attachnient|poinits|lehft|wvitig|faiitliat|liift|iladjavent|thanl,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\РДК_молниезащита 89г.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,38,438,0.8999,0.3438,0.65625,0.3438,0.6562,0.6562,ocr,ru,533,окружающеn|Пон11жеtr11ая|Оборудованне|функцноннрует|Tecтlloooaltlte|Прtшечштя-|измеиетtя|ературы,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,174,572,0.9853,0.3506,0.649433962264151,0.316,0.6274,0.6274,ocr,en,3709,dfiiv|subsylensnt|NWAutkf|larEZ4s|a-ecohmotlatt|kiixia|uilure-forgivitkg|d4sigjn,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,568,572,0.9881,0.3521,0.6479032258064517,0.3226,0.629,0.629,ocr,en,1986,sianat|Jsupporft|Sirvwaih|hydisialic|sodseuhn|ewnbufioa|ISutvivalAdmaNPS|qnlminw,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,9,438,0.9782,0.354,0.6459722222222222,0.2778,0.5972,0.5972,ocr,ru,1314,исполшпели|глав11ыii|НИИАО|Саушш|НИИАО|руковод11теля|Матвсев|Митенков,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,567,572,0.988,0.3648,0.6351694915254238,0.339,0.6186,0.6186,ocr,en,2029,Axwwl|asgglii|vmiim|elaph|dwiopiavnm|kslmdUS|amatypes|imoist,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,282,572,0.9879,0.3733,0.6267199999999999,0.344,0.608,0.608,ocr,en,3650,LCsMW|AgiaC|WkWUe|eMWUWga|aquas10|frelsL|oflason|hqrne,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,279,572,0.9879,0.3744,0.625625,0.3346,0.6029,0.5993,ocr,en,4267,istpou|Mufhy|flawy|MaOil|Conidrauosm|Hdkispur|kikgod|Wawbdiagii,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,270,572,0.9864,0.3813,0.6187155963302753,0.3624,0.6101,0.6055,ocr,en,4008,spa-gwe1|vnixastii|satVtCtoryV|thniques|majvw|sturrund-|cowmponena|rnatzrsiJ,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,565,572,0.9875,0.3838,0.6161805555555555,0.3542,0.5972,0.5972,ocr,en,2593,OGAtst|bydtamlc|Mrwsinrr|adobea|opmrtlin|contro6|Lrauii|tyctum,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,78,572,0.9873,0.3847,0.6152988047808765,0.3586,0.6016,0.5976,ocr,en,4431,lctruically|pcrforrn|rcquired|moxois|aiwak|possibt|consxrv|ction,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,366,572,0.9862,0.3964,0.6036410256410256,0.3846,0.6,0.5949,ocr,en,3355,lkdher|diicvcsad|aletnevtive|Fptnmioa|environmcnmtz|Grouand|cmaly|requiaemcns,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,541,572,0.9875,0.3972,0.6027604166666667,0.375,0.5885,0.5885,ocr,en,3102,RKVMrnNTAJW|IDTEAl|foliowi4|coetroke|ianozrsiou|tresima|nauswso|mnafl,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,422,572,0.9853,0.3984,0.6016071428571429,0.3512,0.5714,0.5714,ocr,en,2770,lduqmla|hewhis|smiaC|looedown011|usuua|anile|mmnhqbls|helopee,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,446,572,0.9876,0.4063,0.5937142857142856,0.3714,0.5714,0.5714,ocr,en,3481,kfmpa|capabl|aminimum|Wooatd|accas|isseff-a|traosport|Woost,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,89,572,0.9878,0.4077,0.5923355263157895,0.3816,0.5757,0.5757,ocr,en,4637,Rtequirasc|uuppremaon|Wuufss|mqsimnmua|amassm|cedin|iisfit|ipociki,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,39,438,0.9874,0.4101,0.5898765432098765,0.3951,0.5802,0.5802,ocr,ru,1222,nредельная|темnература|tnсратура|iств11я|Прюtечаиие|измеиеmtЯ|телтературы|итервале,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,374,572,0.987,0.4113,0.5886538461538462,0.3798,0.5721,0.5673,ocr,en,3374,impxaf|Gieis|pabolsies|suppramo|shoen|imudane|cmensated|ayesk,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,АС 1.1.S1000DR_2014,3159,4046,0.9882,0.4156,0.5844444444444444,0.3704,0.5556,0.5556,ocr,en,1663,org/S1000D|prdcrossreftable|xmlns|xmlns|xmlns|xlink|org/1999/xlink|dmodule,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,172,572,0.9882,0.4157,0.5843448275862069,0.3862,0.5655,0.5655,ocr,en,2091,LOflMAT|OSftEo|Teoth|Mebing|duction|vudmn|vbrmimo|sigificantly,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,459,572,0.988,0.4157,0.5842561983471075,0.4132,0.5826,0.5826,ocr,en,3520,performnance|mupieo|deaAAWle|maebsa|iideration|adhopwe|sormm|dluhl,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,458,572,0.9869,0.4177,0.5822939068100359,0.3871,0.5627,0.5627,ocr,en,4442,locstion|mokhios|ituation|swpemiom|locatin|posble|dimance|butwenm,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,58,438,0.9047,0.4286,0.5714285714285714,0.4286,0.5714,0.5714,ocr,ru,637,оборудованне|функшюннрует|KOJieU|ЦIIКЛа|Рнсунок|шrкла|Первод|Mllllllмyм,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,АС 1.1.S1000DR_2014,3156,4046,0.9882,0.4318,0.5682142857142857,0.381,0.5357,0.5357,ocr,en,1640,xmlns|xlink|org/1999/xlink|dmodule|dmodule|xmlns|org/2001/XMLSchema-instance|org/S1000D,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,168,572,0.9869,0.4319,0.5681107491856678,0.3941,0.544,0.544,ocr,en,4324,ireinuceis|Sufficmet|stren4th|determininug|dtribute|ulimate|streagth|Sctor,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,АС 1.1.S1000DR_2014,3157,4046,0.9882,0.4321,0.5679220779220779,0.3766,0.5325,0.5325,ocr,en,1526,dmodule|dmodule|xmlns|org/2001/XMLSchema-instance|org/S1000D|xmlns|xmlns|xmlns,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,109,438,0.9051,0.4331,0.566888888888889,0.3111,0.4889,0.4889,ocr,ru,826,nереnолнении|РегулнруJ|nодъема|ДетальА|д11аметром|Прюrечаиия|чuсло|отверстшi,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,185,572,0.9879,0.4339,0.566063829787234,0.3972,0.5426,0.5426,ocr,en,4581,Psotida|IfrMn|mnratream|aNMAN|mpgdlsd|bured|sbmee|aueiom,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,66,438,0.9847,0.4512,0.5487500000000001,0.375,0.5,0.5,ocr,ru,1594,n11лообразныli|мпульс|шульса|Нюкочастотная|безопасносп|ра1рушення|МЕЧАНИЕ-|Осциллогра,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,34,438,0.9979,0.4515,0.5484530386740332,0.2486,0.6354,0.3481,ocr,ru,3078,исnытаний|Приме-|чание|чание|Приме-|Приме-|Приме-|Приме-,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,АС 1.1.S1000DR_2014,3158,4046,0.9882,0.4518,0.5482222222222223,0.4111,0.5222,0.5222,ocr,en,1689,dmodule|dmodule|xmlns|org/2001/XMLSchema-instance|org/S1000D|flat/schedul|xmlns|xmlns,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,456,572,0.9876,0.4533,0.5467484662576687,0.4233,0.5276,0.5276,ocr,en,2630,TiSWN|easiY|insid|cazgo|comtpartmwnt|advanflgw|cuggo|timeo,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,372,572,0.9841,0.4626,0.5374404761904762,0.4226,0.5119,0.5119,ocr,en,2573,Faedboc|positivi|altziw|vahvs|rlturn|thzee|tvays|inrrdi,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,460,572,0.988,0.4666,0.5334451219512195,0.4238,0.5061,0.5061,ocr,en,4757,theassumption|ompty|spriaugs|helicopteir|hydropneumatic|geweally|ternafly|cillatlom,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,90,572,0.9873,0.4684,0.5315625,0.4313,0.5125,0.5062,ocr,en,2825,typicali|subjua|dluatfaed|digamp|stsms|speal|hJbdnMoi-|pmbimwy,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,277,572,0.9875,0.4693,0.5306542056074766,0.4579,0.5234,0.5234,ocr,en,3236,balacin|Mlaul|aqatave|acsedowa|pitchin|moumat|Druaiss|Niluad,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,371,572,0.9878,0.4754,0.5245856353591161,0.4337,0.5,0.4972,ocr,en,5238,sasacds|eurwa|CFWbM|discusuon|primnarily|Lixful|tcchmicrut|involc,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,АС 1.1.S1000DR_2014,2000,4046,0.9035,0.4777,0.5222641509433963,0.3396,0.434,0.434,ocr,ru,847,микрофарад|микрофарады/метр|микрограммы/куб|микрогенри|микрогенри/метр|микрогерц|микроджоули|микроны,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\АС 1.1.S1000DR_2014.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,454,572,0.9881,0.48,0.5200294985250737,0.4602,0.5074,0.5074,ocr,en,4871,compnipment|occusionally|iinmecistaly|loaiding|pantinent|Akiled|orgeni-|poaability,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,539,572,0.9877,0.4873,0.5126666666666666,0.4467,0.4867,0.4867,ocr,en,2487,Fktthg|FgUre|Sp0ldq|Anathtw|eqctivc|racthod|thrcu|meais,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
